,Accident_code,Vehicle_type,Brand,Color,Years_license
486,2018S006836    ,Car,HONDA,White,2.0
487,2018S006836    ,Car,NISSAN,Black,1.0
488,2018S007440    ,Car,OPEL,Grey,1.0
489,2018S009921    ,Bike,HONDA,Grey,11.0
490,2018S009921    ,Car,BMW,Red,17.0
491,2018S003618    ,Bike,HONDA,Red,29.0
492,2018S009948    ,Car,PEUGEOT,Grey,52.0
497,2018S003806    ,Bike,HONDA,Black,8.0
499,2018S003694    ,Bike,HONDA,Black,1.0
500,2018S003694    ,Car,SEAT,Black,12.0
502,2018S008190    ,Car,SEAT,White,12.0
503,2018S008239    ,Car,TOYOTA,Black-Yellow,18.0
506,2018S001120    ,Car,ALFAROMEO,Grey,10.0
509,2018S008804    ,Bike,KYMCO,White,12.0
510,2018S001317    ,Car,FORD,Red,2.0
511,2018S001317    ,Car,FORD,White,6.0
512,2018S001317    ,Car,OPEL,White,2.0
515,2018S005233    ,Car,CITROEN,Black,10.0
516,2018S005233    ,Car,CITROEN,Grey,31.0
517,2018S007584    ,Car,RENAULT,White,1.0
524,2018S009349    ,Car,BMW,Green,2.0
527,2018S007770    ,Car,TOYOTA,Black,35.0
528,2018S006785    ,Bike,SYM,Grey,7.0
529,2018S006785    ,Car,PEUGEOT,Grey,10.0
530,2018S007253    ,Bike,SUZUKI,White,33.0
531,2018S000953    ,Bike,APRILIA,Black,2.0
535,2018S006590    ,Car,RENAULT,White,18.0
538,2018S009917    ,Bike,YAMAHA,White,4.0
540,2018S004439    ,Bike,HONDA,Black,6.0
541,2018S004439    ,Car,CITROEN,Red,5.0
543,2018S003352    ,Car,OPEL,Black,1.0
545,2018S002311    ,Bike,KYMCO,White,8.0
547,2018S004848    ,Car,OPEL,Blue,3.0
549,2018S000311    ,Car,FORD,White,3.0
550,2018S000311    ,Car,VOLKSWAGEN,Black,12.0
551,2018S009865    ,Car,MERCEDES,White,2.0
552,2018S009865    ,Car,RENAULT,Blue,6.0
553,2018S004628    ,Car,AUDI,Black,3.0
554,2018S004628    ,Car,PORSCHE,Black,16.0
556,2018S005350    ,Car,PORSCHE,Black,1.0
558,2018S000266    ,Car,PEUGEOT,Grey,19.0
559,2018S006722    ,Car,NISSAN,White,28.0
560,2018S006722    ,Car,OPEL,Grey,34.0
561,2018S001318    ,Bike,KYMCO,White,1.0
562,2018S001318    ,Car,CITROEN,White,5.0
563,2018S001318    ,Car,VOLKSWAGEN,Grey,28.0
565,2018S000130    ,Car,SEAT,Yellow,11.0
567,2018S006546    ,Car,SEAT,Grey,39.0
568,2018S006546    ,Car,SKODA,Black,29.0
571,2018S006884    ,Car,MERCEDES,White,6.0
572,2018S006494    ,Bike,HONDA,Black,22.0
579,2018S003312    ,Bike,HONDA,White,14.0
580,2018S003312    ,Car,SKODA,Black,28.0
585,2018S002669    ,Bike,YAMAHA,Black,6.0
586,2018S002669    ,Car,RENAULT,Grey,5.0
591,2018S002785    ,Bike,BMW,Black,28.0
595,2018S009374    ,Bike,KYMCO,Brown,2.0
596,2018S000317    ,Bike,YAMAHA,Red,3.0
599,2018S000513    ,Bike,PEUGEOT,White,2.0
601,2018S002784    ,Bike,HONDA,Grey,4.0
603,2018S009007    ,Bike,HONDA,Black,1.0
604,2018S009007    ,Bike,HONDA,Grey,15.0
605,2018S003926    ,Car,SEAT,White,1.0
606,2018S006636    ,Bike,YAMAHA,Blue,30.0
611,2018S001516    ,Car,AUDI,Black,19.0
618,2018S009388    ,Car,FIAT,White,10.0
621,2018S006222    ,Car,RENAULT,Black,3.0
